tagId,timestamp,dateTime,loc(x),loc(y),loc(z),yaw,roll,pitch,acc(x),acc(y),acc(z),gyro,magnetic,label
26651,1650215270.195,"19:07:50,195000",3159,4972,957,0.016,0.063,-0.003,55,2,953,"{'x': -0.1875, 'y': 0, 'z': 0}","{'x': 0.75, 'y': 7.875, 'z': -15.1875}",2
26660,1650215270.279,"19:07:50,279000",2235,3727,1411,6.089,0.091,-0.031,-32,-12,1130,"{'x': -3.5625, 'y': -10.6875, 'z': 52.75}","{'x': 3.5625, 'y': 17.0625, 'z': -41.1875}",2
26651,1650215270.358,"19:07:50,358000",3156,4973,948,0.016,0.063,-0.003,55,3,953,"{'x': -0.125, 'y': 0.0625, 'z': -0.125}","{'x': 1.1875, 'y': 6.375, 'z': -16}",2
26651,1650215270.524,"19:07:50,524000",3154,4972,966,0.016,0.063,-0.003,56,1,955,"{'x': -0.0625, 'y': 0, 'z': 0.0625}","{'x': 0.375, 'y': 7.875, 'z': -15.5625}",2
26660,1650215270.596,"19:07:50,596000",2347,3706,1374,5.894,0.085,-0.062,75,96,1049,"{'x': 13.6875, 'y': -1.5625, 'z': 21.75}","{'x': 6.5, 'y': 14.5, 'z': -41.1875}",2
26651,1650215270.667,"19:07:50,667000",3157,4970,979,0.016,0.063,-0.003,59,1,955,"{'x': 0.25, 'y': 0, 'z': 0.125}","{'x': 0.375, 'y': 6.75, 'z': -15.1875}",2
26660,1650215270.741,"19:07:50,741000",2487,3694,1392,5.863,0.086,-0.041,109,-105,1095,"{'x': -3.375, 'y': -10.8125, 'z': 4.0625}","{'x': 7.1875, 'y': 12.6875, 'z': -41.5625}",2
26651,1650215270.821,"19:07:50,821000",3153,4970,966,0.016,0.063,-0.003,56,3,955,"{'x': 0, 'y': 0.1875, 'z': 0}","{'x': 0.75, 'y': 6.375, 'z': -15.1875}",2
26660,1650215270.905,"19:07:50,905000",2622,3701,1376,5.837,0.076,-0.056,9,23,1002,"{'x': 1.0625, 'y': -2.4375, 'z': 20.4375}","{'x': 7.25, 'y': 13.375, 'z': -41.5625}",2
26651,1650215270.981,"19:07:50,981000",3155,4967,968,0.016,0.063,-0.003,56,2,956,"{'x': 0.0625, 'y': -0.0625, 'z': 0}","{'x': 0.375, 'y': 7.875, 'z': -15.5625}",2
26651,1650215271.168,"19:07:51,168000",3147,4969,937,0.016,0.063,-0.003,56,0,957,"{'x': -0.0625, 'y': 0.0625, 'z': 0.0625}","{'x': 0.75, 'y': 7.5625, 'z': -15.5625}",2
26660,1650215271.258,"19:07:51,258000",2863,3750,1354,5.679,0.073,-0.094,-45,200,856,"{'x': 10.125, 'y': 16.0625, 'z': 40.25}","{'x': 8.0625, 'y': 12.6875, 'z': -42}",2
26651,1650215271.337,"19:07:51,337000",3133,4972,917,0.016,0.063,-0.003,56,2,956,"{'x': 0, 'y': 0.125, 'z': 0.0625}","{'x': 1.1875, 'y': 6.75, 'z': -15.5625}",2
26660,1650215271.414,"19:07:51,414000",2972,3791,1338,5.551,0.064,-0.055,-96,133,761,"{'x': 46.0625, 'y': 24.625, 'z': 60.5625}","{'x': 11.5, 'y': 11.5625, 'z': -41.25}",2
26651,1650215271.48,"19:07:51,480000",3133,4972,913,0.016,0.063,-0.003,56,2,958,"{'x': 0.1875, 'y': 0.125, 'z': -0.0625}","{'x': 0.375, 'y': 6.75, 'z': -15.1875}",2
